architecture,architecture_id,noise_case,noise_std,noise_std_percent,model_type,mse_all_mean,mse_all_std,rmse_all_mean,rmse_all_std,mse_O2X_mean,mse_O2X_std,rmse_O2X_mean,rmse_O2X_std,mse_O2plus_mean,mse_O2plus_std,rmse_O2plus_mean,rmse_O2plus_std,mse_ne_mean,mse_ne_std,rmse_ne_mean,rmse_ne_std,phys_rmse_P_mean,phys_rmse_P_std,phys_rmse_I_mean,phys_rmse_I_std,phys_rmse_ne_mean,phys_rmse_ne_std,projection_failures_mean,projection_failures_std,resampled_impossible_values_mean,resampled_impossible_values_std,outside_domain_fraction_any_mean,outside_domain_fraction_any_std,outside_domain_fraction_P_mean,outside_domain_fraction_P_std,outside_domain_fraction_I_mean,outside_domain_fraction_I_std,outside_domain_fraction_R_mean,outside_domain_fraction_R_std,actual_abs_noise_mean_P_percent_mean,actual_abs_noise_mean_P_percent_std,actual_abs_noise_mean_I_percent_mean,actual_abs_noise_mean_I_percent_std,actual_abs_noise_mean_R_percent_mean,actual_abs_noise_mean_R_percent_std,n_valid_mean,n_valid_std
"[30, 30, 30]",30_30_30,I_only,0.005,0.5,NN,0.002920454717477784,3.211298002480983e-06,0.054041223882660305,2.9713402424672234e-05,0.0006106419679687153,2.7431106600897e-06,0.02471111184134638,5.543638541139635e-05,0.0037059122389107137,1.0548610337141197e-05,0.060876145605773334,8.666387214281778e-05,0.0039055827406912443,1.1287363228138021e-05,0.06249459967436207,9.033407277024742e-05,0.027525920406526405,2.4689855414032336e-05,0.2623675809303944,0.0001908122611323915,0.007480648458857599,3.130191813444491e-05,0.0,0.0,0.0,0.0,0.001,0.0015672078199387574,0.0,0.0,0.001,0.0015672078199387574,0.0,0.0,0.0,0.0,0.39968278070243507,0.012777413773855254,0.0,0.0,300.0,0.0
"[30, 30, 30]",30_30_30,I_only,0.005,0.5,NN_projection,0.0026781761770673885,2.7602006622912454e-06,0.051751091789192405,2.666939842101897e-05,0.00022835159467046354,1.9081543703280445e-06,0.015111181923848745,6.304163044338326e-05,0.001683904124104053,1.1871935644365627e-05,0.04103515883439961,0.0001445994090722434,0.0012978931374968638,1.1036778046452993e-05,0.03602597478011226,0.00015313784495275218,2.4320174162918395e-06,2.6313357966251263e-09,1.2884969504934814e-09,6.743484856941098e-11,0.007870009145040735,4.1009107530957635e-05,0.0,0.0,0.0,0.0,0.001,0.0015672078199387574,0.0,0.0,0.001,0.0015672078199387574,0.0,0.0,0.0,0.0,0.39968278070243507,0.012777413773855254,0.0,0.0,300.0,0.0
"[30, 30, 30]",30_30_30,I_only,0.01,1.0,NN,0.0029243622454701535,6.411511476756042e-06,0.05407734189335491,5.928716338572626e-05,0.0006134266733194553,5.60494981051941e-06,0.02476720760874102,0.00011286034675586315,0.003708589148070723,2.1126124523962133e-05,0.06089795181828898,0.00017354631742572837,0.0039089058360844186,2.2537267045595165e-05,0.0625209959862872,0.00018034168469901942,0.02752237462901345,4.951478849109695e-05,0.2623786083388583,0.0003823856953089709,0.007474431924254042,6.257252128826726e-05,0.0,0.0,0.0,0.0,0.002666666666666667,0.0031715106072916963,0.0,0.0,0.002666666666666667,0.0031715106072916963,0.0,0.0,0.0,0.0,0.7993655614048701,0.025554827547710508,0.0,0.0,300.0,0.0
"[30, 30, 30]",30_30_30,I_only,0.01,1.0,NN_projection,0.002682263787924212,5.533483231971459e-06,0.05179055006726978,5.3426327377076734e-05,0.00023162295896292004,3.86734401147495e-06,0.015218663689262432,0.00012663447624525643,0.0016862882757590532,2.380913521486144e-05,0.04106346978140518,0.0002896917975261163,0.001301637247335326,2.208979015919402e-05,0.036076977410621235,0.00030598976393490926,2.4327632086046953e-06,5.244634859347429e-09,1.3544430898031373e-09,1.0248036631201216e-10,0.007861313629063293,8.198009358640974e-05,0.0,0.0,0.0,0.0,0.002666666666666667,0.0031715106072916963,0.0,0.0,0.002666666666666667,0.0031715106072916963,0.0,0.0,0.0,0.0,0.7993655614048701,0.025554827547710508,0.0,0.0,300.0,0.0
"[30, 30, 30]",30_30_30,I_only,0.02,2.0,NN,0.00294150718743017,1.2865606317275212e-05,0.05423554018600597,0.00011862440638720638,0.000626267851750226,1.175359354727718e-05,0.025024309324907273,0.00023349644781490829,0.003725132578720705,4.218072776670319e-05,0.06103293311816904,0.00034588363393036866,0.003926898205907696,4.46840154987221e-05,0.06266400239645191,0.0003569012323411762,0.0275180646199554,9.917991056724147e-05,0.26246515805381965,0.000778158617306381,0.007466897675869355,0.00012607208043683273,0.0,0.0,0.0,0.0,0.006333333333333334,0.003730700826248436,0.0,0.0,0.006333333333333334,0.003730700826248436,0.0,0.0,0.0,0.0,1.5987311228097403,0.051109655095421015,0.0,0.0,300.0,0.0
"[30, 30, 30]",30_30_30,I_only,0.02,2.0,NN_projection,0.0026998934709743464,1.1249120648524945e-05,0.051960392005300296,0.00010825714937619225,0.0002453233071726561,8.040257116845495e-06,0.01566083210808007,0.00025473382430844034,0.0017023613711756517,4.8004721272032467e-05,0.04125579536653178,0.0005810334264379812,0.0013213691966730517,4.437633671474079e-05,0.03634578133268405,0.0006098973078077318,2.4345339249563802e-06,1.0362861392028575e-08,1.3546085288378778e-09,1.2826729665487923e-10,0.007847670508038005,0.0001636092733831953,0.0,0.0,0.0,0.0,0.006333333333333334,0.003730700826248436,0.0,0.0,0.006333333333333334,0.003730700826248436,0.0,0.0,0.0,0.0,1.5987311228097403,0.051109655095421015,0.0,0.0,300.0,0.0
"[30, 30, 30]",30_30_30,I_only,0.05,5.0,NN,0.0030678376025234655,3.3158890541527514e-05,0.055387295865506316,0.000299225720700008,0.0007238470815125372,3.433163830860339e-05,0.026897449667519203,0.0006276798511883583,0.003862933990355662,0.00010629822536803976,0.06214690089220278,0.0008563692331961725,0.004070847294423403,0.00011059738995513058,0.06379758174824543,0.0008680634826080114,0.027510223270432725,0.0002385672099373399,0.26322717249213695,0.0020289161747047116,0.0074817046154095875,0.0003127336643904432,0.0,0.0,0.0,0.0,0.018833333333333334,0.007031674369909661,0.0,0.0,0.018833333333333334,0.007031674369909661,0.0,0.0,0.0,0.0,3.9968278070243506,0.12777413773855265,0.0,0.0,300.0,0.0
"[30, 30, 30]",30_30_30,I_only,0.05,5.0,NN_projection,0.002828739936773709,3.0439585793956384e-05,0.053185169222567774,0.00028600982783862045,0.0003446626632415038,2.3697078846568475e-05,0.01855507028242709,0.0006257879712346942,0.0018406314234539847,0.00012485029082668294,0.04287918922817739,0.0014533281543953683,0.0014781643876776746,0.00011495846749199807,0.0384193064842487,0.0014942968587761236,2.4423665049451356e-06,2.4961654984020483e-08,1.4000299465307596e-09,1.2669171673763587e-10,0.007832967652202745,0.000404686717431726,0.0,0.0,0.0,0.0,0.018833333333333334,0.007031674369909661,0.0,0.0,0.018833333333333334,0.007031674369909661,0.0,0.0,0.0,0.0,3.9968278070243506,0.12777413773855265,0.0,0.0,300.0,0.0
"[30, 30, 30]",30_30_30,I_only,0.1,10.0,NN,0.003535940051960657,7.689864639102413e-05,0.05946045042246576,0.0006447255786263216,0.0010973876729530512,9.232012294117781e-05,0.03310050897865881,0.0013549046603782138,0.004385946496466793,0.00022278743975837894,0.06620617127025784,0.0016825363686000995,0.004613181243585807,0.0002268441799895982,0.06790090551464292,0.0016696277168855938,0.027531582437895274,0.00045780853931965293,0.2661620946875918,0.004278419845569977,0.007627107801427049,0.0006182630639590741,0.0,0.0,0.0,0.0,0.0375,0.010137937550497033,0.0,0.0,0.0375,0.010137937550497033,0.0,0.0,0.0,0.0,7.993655614048701,0.2555482754771053,0.0,0.0,300.0,0.0
"[30, 30, 30]",30_30_30,I_only,0.1,10.0,NN_projection,0.0033046435850804723,7.646410148951557e-05,0.057482400348110044,0.0006627179284627054,0.0007145947129158754,6.941362242335023e-05,0.026703439475085976,0.0012653408595462363,0.002372031835306439,0.0002778688576097158,0.04862388762918344,0.0028560899165745827,0.0020650822829477297,0.0002594156397177388,0.045357579482759904,0.0028603029675465606,2.463769830449014e-06,4.6328662001172726e-08,1.3635575224691088e-09,1.3205765080056916e-10,0.007892117337732837,0.000805105011339776,0.0,0.0,0.0,0.0,0.0375,0.010137937550497033,0.0,0.0,0.0375,0.010137937550497033,0.0,0.0,0.0,0.0,7.993655614048701,0.2555482754771053,0.0,0.0,300.0,0.0
"[30, 30, 30]",30_30_30,P_I_R,0.005,0.5,NN,0.0029342479023672036,9.144016830878506e-06,0.05416863610684567,8.438440451985828e-05,0.0006299320894319187,1.0748705762294822e-05,0.025097576697719254,0.00021455789065034117,0.0037198012225133073,3.389151238206792e-05,0.0609895724986515,0.0002777142511738025,0.003917224725959213,3.401831348642534e-05,0.06258717608280526,0.00027167306036717214,0.02752675000152748,0.00010002778860893997,0.26274917720250796,0.0009713770043964721,0.007509056735705869,4.801486646034122e-05,0.0,0.0,0.0,0.0,0.0075,0.006105792475542053,0.003,0.002840805420755968,0.0001666666666666667,0.00074535599249993,0.004333333333333333,0.004060939308851518,0.39968278070243507,0.012777413773855254,0.39667287051054395,0.019435706768713267,0.4005584882920882,0.0189222755896494,300.0,0.0
"[30, 30, 30]",30_30_30,P_I_R,0.005,0.5,NN_projection,0.002692100865849323,7.52856652845978e-06,0.051885410944894426,7.252534041832119e-05,0.00024724616975539443,1.0603704666656638e-05,0.015720625898835987,0.00033731307375786863,0.0017077890443287246,2.850935887610805e-05,0.041324042100026194,0.00034425945537949656,0.0013180150783851851,2.9293240133480892e-05,0.03630235204335729,0.000403033896103219,2.4304795452052366e-06,5.696601918114281e-09,1.2809439817694172e-09,9.92704036008927e-11,0.007907096719911556,6.65809019132664e-05,0.0,0.0,0.0,0.0,0.0075,0.006105792475542053,0.003,0.002840805420755968,0.0001666666666666667,0.00074535599249993,0.004333333333333333,0.004060939308851518,0.39968278070243507,0.012777413773855254,0.39667287051054395,0.019435706768713267,0.4005584882920882,0.0189222755896494,300.0,0.0
