lambda_physics_value,loss_train_total,loss_train_total_err,loss_train_data,loss_train_data_err,loss_train_physics,loss_train_physics_err,loss_train_P,loss_train_P_err,loss_train_I,loss_train_I_err,loss_train_ne,loss_train_ne_err,loss_val,loss_val_err,loss_val_physics,loss_val_physics_err,loss_val_P,loss_val_P_err,loss_val_I,loss_val_I_err,loss_val_ne,loss_val_ne_err
[1.e-06 1.e-06 1.e-06],2.98168136381233998e-03,1.07747675436089976e-04,2.98025323846042630e-03,1.07740515326953780e-04,1.43706611162863754e-06,1.10137952258268430e-08,5.85523731079281240e-01,3.61031978829555456e-03,7.20696717834161227e-01,9.60171526858892739e-03,1.30845662715195155e-01,2.88599037618969155e-03,5.03790281492004152e-03,1.68697107102470895e-04,1.53635731762775442e-06,1.99852925937127563e-08,6.24606173886084415e-01,5.88215715974602007e-03,7.95760001151083030e-01,1.78779059304882242e-02,1.15991142590586932e-01,2.47821932665034288e-03
[5.e-06 5.e-06 5.e-06],2.94928436212819759e-03,1.16075065598356055e-04,2.94215136659709605e-03,1.16038829286650664e-04,7.17712780160088328e-06,5.57412716938201385e-08,5.84604050837448375e-01,3.67910535833282327e-03,7.19455715750002667e-01,9.91287733524462596e-03,1.31365793732725444e-01,3.21205762086492841e-03,4.98140450883294457e-03,1.79569650921032137e-04,7.67328016449995814e-06,1.02461785416497173e-07,6.25706417643580481e-01,6.00984962310199128e-03,7.92920782510940114e-01,1.90504474594422914e-02,1.16028832745470642e-01,2.49317756342585638e-03
[1.e-05 1.e-05 1.e-05],2.99454957518095278e-03,1.07808530216671927e-04,2.98026948467923361e-03,1.07736908309399604e-04,1.43694985862598680e-05,1.10069167502089594e-07,5.85528396233136017e-01,3.61072222925372605e-03,7.20589748205146430e-01,9.59567965612047671e-03,1.30831714187704368e-01,2.88558678117780028e-03,5.03775654885554001e-03,1.68720907139637927e-04,1.53611271548306380e-05,1.99637256393847270e-07,6.24616404435766714e-01,5.88148234998565021e-03,7.95517807882122674e-01,1.78593404921280133e-02,1.15978503165174551e-01,2.47924186401143757e-03
[5.e-05 5.e-05 5.e-05],3.05184033399861707e-03,1.08114373010775020e-04,2.98047503690342629e-03,1.07756272533181044e-04,7.18123683507266664e-05,5.49009880135394516e-07,5.85526869429030539e-01,3.61116904509796574e-03,7.19969407655065785e-01,9.55937766649146529e-03,1.30751089930436992e-01,2.88347265299747921e-03,5.03776123678562927e-03,1.68763256067802945e-04,7.67670836508860011e-05,9.96147275240138232e-07,6.24613091388999453e-01,5.87960223193257931e-03,7.94813415321043992e-01,1.78087879663594295e-02,1.15915166307676537e-01,2.47706804314705431e-03
[0.0001 0.0001 0.0001],3.12318118913339562e-03,1.08394481475152451e-04,2.98051988005292512e-03,1.07676719743202988e-04,1.43555465044485278e-04,1.09949368859826233e-06,5.85534146115915699e-01,3.61275835600924659e-03,7.19364598389843013e-01,9.56739188026813070e-03,1.30655905939093930e-01,2.88297267117378422e-03,5.03733578151579521e-03,1.68626921782660545e-04,1.53453392908918138e-04,1.98774258006975689e-06,6.24642573489470831e-01,5.87547900770349612e-03,7.94058660419931228e-01,1.77516537374313235e-02,1.15832695179779371e-01,2.47711756500248841e-03
[0.0005 0.0005 0.0005],3.69143847841582736e-03,1.11234304055171909e-04,2.98110536442310102e-03,1.07623552043695990e-04,7.14804772039360483e-04,5.42729193584364373e-06,5.85510105808046744e-01,3.61149300975364398e-03,7.14206768007868975e-01,9.37701664334874944e-03,1.29892670262805154e-01,2.86812667836102006e-03,5.03496872597724264e-03,1.68571742750161515e-04,7.63520227695748495e-04,9.74754406626919621e-06,6.24600153872139741e-01,5.88654161065647451e-03,7.87301417777620749e-01,1.73645699286234835e-02,1.15138883741736600e-01,2.45993619765704982e-03
[0.001 0.001 0.001],4.36011560611507774e-03,1.23826610876086942e-04,2.94730029198723032e-03,1.16605598724576332e-04,1.42165721500381098e-03,1.06848947376790814e-05,5.84620308119578658e-01,3.68089192065197473e-03,7.07579310537510997e-01,9.41953953981169122e-03,1.29457596346721326e-01,3.16067019610647175e-03,4.98120400881572369e-03,1.81569965947983055e-04,1.51715977439226225e-03,1.97650340905670507e-05,6.25753056631046634e-01,6.00420358677283134e-03,7.77083110974286173e-01,1.83449878421639047e-02,1.14323606786929544e-01,2.45245645882034890e-03
[0.005 0.005 0.005],9.95031922611311695e-03,1.41410075558344754e-04,3.03229361144209631e-03,1.06417335755807198e-04,6.96351001884265575e-03,4.83971354742190191e-05,5.86063674290690728e-01,3.57067628205148162e-03,6.84440367383515103e-01,7.94394475690708354e-03,1.22197962094325097e-01,2.71277746231683410e-03,5.06391301312518298e-03,1.69178767837207877e-04,7.37958719019882626e-03,8.94720949265334848e-05,6.25077930364581369e-01,5.82717949645591982e-03,7.43703586325745292e-01,1.53306873037762706e-02,1.07135921349438765e-01,2.23283874405329642e-03
[0.01 0.01 0.01],1.69537158210786194e-02,1.82850047098892927e-04,3.09792064138578703e-03,1.06989475162531258e-04,1.39487327989344049e-02,1.00781629940912092e-04,5.86228678084357191e-01,3.62090745038067463e-03,6.93616597939322732e-01,8.18465560931623884e-03,1.15028003869760864e-01,2.55675951305716839e-03,5.09789650128794364e-03,1.67576506512200058e-04,1.47064283853564019e-02,1.76810801041945567e-04,6.25273887098080516e-01,5.82753814792989679e-03,7.44347083562402201e-01,1.52259214976932268e-02,1.01021867875157295e-01,2.11160003396303284e-03
[0.05 0.05 0.05],9.98241683569625476e-02,1.27916570661762126e-03,4.06037369652996992e-03,9.93744841314036413e-05,9.63728507149120700e-02,1.24755170177718320e-03,5.88776831572723758e-01,2.95671666368524594e-03,1.25237531546539804e+00,2.34574847285941371e-02,8.63048672601201272e-02,1.96617784309506332e-03,5.90765296174103598e-03,1.85352338657998302e-04,1.10354377133897133e-01,2.52605155832231381e-03,6.27951653094265039e-01,5.95290990183032671e-03,1.50034183244482966e+00,5.04437702112209146e-02,7.87940571388479477e-02,1.31001991714828499e-03
