lambda_physics_value,loss_train_total,loss_train_total_err,loss_train_data,loss_train_data_err,loss_train_physics,loss_train_physics_err,loss_train_P,loss_train_P_err,loss_train_I,loss_train_I_err,loss_train_ne,loss_train_ne_err,loss_val,loss_val_err,loss_val_physics,loss_val_physics_err,loss_val_P,loss_val_P_err,loss_val_I,loss_val_I_err,loss_val_ne,loss_val_ne_err
[0. 0. 0.],2.98023871763499404e-03,1.07737380034393063e-04,2.98023871763499404e-03,1.07737380034393063e-04,0.00000000000000000e+00,0.00000000000000000e+00,5.85524739836862373e-01,3.61048241664175444e-03,7.20710773507451719e-01,9.59923496851647004e-03,1.30847807968573565e-01,2.88603859919594032e-03,5.03788015525077730e-03,1.68709859455894406e-04,0.00000000000000000e+00,0.00000000000000000e+00,6.24607160399373140e-01,5.88226934760662130e-03,7.95764830336891382e-01,1.78934744529040367e-02,1.15991817301354924e-01,2.47844721766370167e-03
[0.01149425 0.01149425 0.01149425],1.91294249152343179e-02,1.97530258194249442e-04,3.12030861717304837e-03,1.06710971298330895e-04,1.61167131469293068e-02,1.19221474791029723e-04,5.86238023066869007e-01,3.62497318183750217e-03,7.02766239891656763e-01,8.47330440571146710e-03,1.13149780824324003e-01,2.51710455947573141e-03,5.10868265239294243e-03,1.66664024928784909e-04,1.69725214762919893e-02,2.07554208305907718e-04,6.25367094897750109e-01,5.81908924371994565e-03,7.51823219708579904e-01,1.56803086272425986e-02,9.94190538310730093e-02,2.08809894212767409e-03
[0.02298851 0.02298851 0.02298851],3.80982344785088106e-02,3.82221462635476449e-04,3.37369892214550715e-03,9.63893297827303681e-05,3.49572044475457491e-02,3.30183293305509877e-04,5.87540613974390169e-01,2.98889145637752781e-03,8.31520432463981107e-01,1.31038317924056687e-02,1.01577347029868842e-01,2.27189267772732887e-03,5.29935052010217962e-03,1.58974322737646164e-04,3.74930377690772185e-02,6.77078692069217809e-04,6.23332610229538675e-01,6.36822298376284526e-03,9.17568858555158129e-01,2.84693735558813818e-02,9.00456741701620850e-02,1.74183577631410952e-03
[0.03448276 0.03448276 0.03448276],6.11895285344294590e-02,6.89191128096594552e-04,3.64659632057397773e-03,1.01067209718026473e-04,5.79201663159838245e-02,6.57730800388318915e-04,5.88625270173522397e-01,2.89941381311599683e-03,9.97452159708068442e-01,1.75658674118891397e-02,9.36073932819398158e-02,2.09879198020945963e-03,5.52616842151395712e-03,1.72593545600076910e-04,6.46615317810380202e-02,1.28577371340189424e-03,6.22987964491793833e-01,5.90071662990043246e-03,1.16816444803495534e+00,3.70862895066170900e-02,8.40320091233536515e-02,1.55996008613393071e-03
[0.04597701 0.04597701 0.04597701],8.91047717660643640e-02,1.09965854077264487e-03,3.94966249171788304e-03,1.04058318327197012e-04,8.56998903076868629e-02,1.07134165131261751e-03,5.87583334351498010e-01,2.90214757615273955e-03,1.18855443920538173e+00,2.19024894304269691e-02,8.78348406353097327e-02,2.00732922039160815e-03,5.79440480973812330e-03,1.77149722782093434e-04,9.80475474699993021e-02,2.16660931456959813e-03,6.24300580311329179e-01,6.23057877680545900e-03,1.42863755604946041e+00,4.67072224552743040e-02,7.95960211116950311e-02,1.37156150775268461e-03
[0.05747126 0.05747126 0.05747126],1.21586645196883669e-01,1.71411458640614509e-03,4.27443023029685371e-03,9.96730476609078328e-05,1.18049185695948328e-01,1.67940895671535805e-03,5.86015814317072281e-01,3.48847206182884180e-03,1.38412208328925646e+00,2.75338875711697365e-02,8.39179335031719487e-02,1.92926107343891103e-03,6.12386965883020447e-03,1.76212549285131945e-04,1.34933305585307417e-01,3.42720751087210443e-03,6.22437473370243910e-01,7.13645356678833422e-03,1.64896534288397634e+00,5.81886338839624345e-02,7.64367009301285955e-02,1.22728035629704902e-03
[0.06896552 0.06896552 0.06896552],1.56708628748795875e-01,2.15999593493952039e-03,4.51158372553050503e-03,1.04297935825638059e-04,1.53130476138892385e-01,2.11983014997446650e-03,5.85400121745219826e-01,3.63799344084308855e-03,1.55404699277796388e+00,2.88078565039214148e-02,8.09447894907559806e-02,1.87861193387655104e-03,6.32866872252771644e-03,1.80240755716444307e-04,1.75783211741973117e-01,5.01491189964426484e-03,6.20710433566427744e-01,7.19233382714501608e-03,1.85438383320307310e+00,7.10854642090591321e-02,7.37623034891097124e-02,1.15582869919131858e-03
[0.08045977 0.08045977 0.08045977],1.96230358767958579e-01,3.08584420043385519e-03,4.77532943371115036e-03,9.99100165126278372e-05,1.92607695059625994e-01,3.05057362492418662e-03,5.86271801032392181e-01,3.52093659080479366e-03,1.72890775241906236e+00,3.62067421879671142e-02,7.86589422896111085e-02,1.86876994747076888e-03,6.57284975019895457e-03,1.81846580654611870e-04,2.24558085269316837e-01,6.01521986417639237e-03,6.26287668007593834e-01,6.76606540192878358e-03,2.09246552914697981e+00,7.39970879468333509e-02,7.21830054783645647e-02,1.02350922798116338e-03
[0.09195402 0.09195402 0.09195402],2.37077766649139571e-01,4.06472153134035917e-03,4.98738668331988842e-03,1.01207702455716406e-04,2.33466210775011340e-01,4.02744178784027792e-03,5.85124603454161174e-01,3.50567487334510312e-03,1.87699204350391247e+00,4.19464206831591663e-02,7.68283952201749831e-02,1.83220408574217338e-03,6.75868509788477533e-03,1.85358169995397448e-04,2.76451485354419102e-01,7.21911927215699266e-03,6.24916866550125127e-01,6.55216417919590993e-03,2.31077599273115863e+00,7.69933871701676958e-02,7.07170439480244856e-02,9.86647047277994021e-04
[0.10344828 0.10344828 0.10344828],2.80782616733322832e-01,4.79826228828535498e-03,5.28577947368419170e-03,1.28260756320152823e-04,2.77137251579057886e-01,4.74374861085479979e-03,5.85788949242248114e-01,3.57561202194200045e-03,2.01803136065766919e+00,4.36903538790729684e-02,7.51731220309751896e-02,1.79566578888990468e-03,7.06436018813489698e-03,1.88711344086982610e-04,3.27931889253861353e-01,8.72123358459809574e-03,6.29727679013533881e-01,6.70050378695378861e-03,2.47054726702009919e+00,8.41349776703760321e-02,6.97333167536936804e-02,9.95882101581809388e-04
